	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	sea1_Hi_sk	sea2_Hi_sk	sea3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	sea1_Hi_b2	sea2_Hi_b2	sea3_Hi_b2	land4_Mi_sk	land5_Mi_sk	land6_Mi_sk	sea4_Mi_sk	sea5_Mi_sk	sea6_Mi_sk	land4_Mi_b2	land5_Mi_b2	land6_Mi_b2	sea4_Mi_b2	sea5_Mi_b2	sea6_Mi_b2
33	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella	0.0	0.0	1.0	32.0	9.0	480.0	0.0	0.0	1.0	28.0	9.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella leonina	0.0	8.0	15.0	9292.0	4349.0	3167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus	20.0	17.0	15.0	9392.0	1785.0	6358.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chaetodon	14.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus	0.0	43.0	6.0	24.0	0.0	1828.0	0.0	43.0	6.0	24.0	0.0	1828.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	2.0	143.0	18.0	1851.0	25.0	23920.0	2.0	143.0	18.0	1851.0	25.0	23937.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9648.0	0.0	0.0
40	Chordata;Actinopteri;Ephippiformes;Ephippidae;Platax;Platax orbicularis	31.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	Chordata;Actinopteri;Gobiiformes;Gobiidae	0.0	0.0	0.0	831.0	73.0	0.0	0.0	0.0	0.0	831.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	Chordata;Actinopteri;Gobiiformes;Gobiidae;Cabillus;Cabillus sp. CBM:ZF:12221	18.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	Chordata;Actinopteri;Gobiiformes;Gobiidae;Luciogobius;Luciogobius guttatus	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	Chordata;Actinopteri;Labriformes;Labridae	92.0	304.0	369.0	1250.0	5047.0	106927.0	25.0	1.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	Chordata;Actinopteri;Labriformes;Labridae;Anampses	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	Chordata;Actinopteri;Labriformes;Labridae;Chlorurus;Chlorurus sordidus	143.0	1.0	0.0	44.0	17.0	116.0	143.0	1.0	0.0	44.0	17.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	Chordata;Actinopteri;Labriformes;Labridae;Coris;Coris gaimard	0.0	0.0	0.0	11.0	0.0	12.0	0.0	0.0	0.0	11.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
