12S_seq_number	AHi_12S_5.C2.S1540.L007	AHi_12S_8.C4.S900.L007	AHi_12S_AN1H.S1214.L007	AHi_12S_AN2C.S1215.L007	AHi_12S_ANB2.S1217.L007	AHi_12S_C1g.S885.L007	count	forward	reverse	merged	sumtax
merged_12S_74	0	0	62	0	114	0	176			merged	Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus
merged_12S_75	0	0	0	175	0	0	175			merged	Chordata;Mammalia;Carnivora;Otariidae;Zalophus;Zalophus californianus
reverse_12S_76	163	3	0	0	0	6	172		reverse		
reverse_12S_77	81	17	0	0	0	74	172		reverse		
reverse_12S_78	79	5	0	0	2	86	172		reverse		
reverse_12S_79	66	7	0	0	1	98	172		reverse		
reverse_12S_80	98	27	0	0	0	46	171		reverse		
reverse_12S_81	168	1	0	0	0	0	169		reverse		
reverse_12S_82	107	27	0	0	0	35	169		reverse		
reverse_12S_83	163	3	0	0	0	1	167		reverse		
reverse_12S_84	67	11	0	0	0	87	165		reverse		
merged_12S_76	0	0	50	14	99	0	163			merged	Chordata;Chondrichthyes;Rajiformes;Rajidae;Raja;Raja binoculata
reverse_12S_85	75	32	0	0	0	56	163		reverse		
reverse_12S_86	41	40	0	0	0	82	163		reverse		
reverse_12S_87	134	7	0	0	1	18	160		reverse		
reverse_12S_88	106	12	0	0	0	42	160		reverse		
reverse_12S_89	65	50	0	0	0	45	160		reverse		
reverse_12S_90	59	65	0	0	0	35	159		reverse		
reverse_12S_91	31	31	0	0	0	92	154		reverse		
reverse_12S_92	39	50	0	0	0	64	153		reverse		
reverse_12S_93	14	18	0	0	0	121	153		reverse		
reverse_12S_94	80	20	0	0	0	51	151		reverse		
reverse_12S_95	134	7	0	0	0	7	148		reverse		
reverse_12S_96	68	20	0	0	1	57	146		reverse		
reverse_12S_97	66	10	0	0	0	69	145		reverse		
merged_12S_77	0	0	143	0	0	0	143			merged	
merged_12S_78	0	0	0	0	143	0	143			merged	Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
reverse_12S_98	125	8	0	0	0	9	142		reverse		
merged_12S_79	0	0	0	141	0	0	141			merged	Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
reverse_12S_99	32	23	0	0	0	83	138		reverse		
merged_12S_80	0	0	0	0	137	0	137			merged	Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;
reverse_12S_100	50	10	0	0	0	77	137		reverse		
reverse_12S_101	39	9	0	0	0	89	137		reverse		
reverse_12S_102	17	6	0	0	0	113	136		reverse		
reverse_12S_103	59	38	0	0	0	38	135		reverse		
reverse_12S_104	133	0	0	0	0	1	134		reverse		
reverse_12S_105	130	3	0	0	0	1	134		reverse		
reverse_12S_106	52	14	0	0	0	67	133		reverse		
merged_12S_81	0	0	132	0	0	0	132			merged	Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;
reverse_12S_107	25	37	0	0	0	69	131		reverse		
reverse_12S_108	44	11	0	0	0	75	130		reverse		
merged_12S_82	0	0	0	0	128	0	128			merged	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
reverse_12S_109	90	12	0	0	1	24	127		reverse		
reverse_12S_110	53	19	0	0	0	55	127		reverse		
merged_12S_83	0	0	126	0	0	0	126			merged	Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus saurus
reverse_12S_111	46	14	0	0	1	65	126		reverse		
merged_12S_84	0	0	0	0	124	0	124			merged	Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
reverse_12S_112	69	30	0	0	0	25	124		reverse		
reverse_12S_113	116	3	0	0	0	4	123		reverse		
reverse_12S_114	41	26	0	0	0	56	123		reverse		
reverse_12S_115	30	8	0	0	1	84	123		reverse		
reverse_12S_116	55	3	0	0	0	64	122		reverse		
reverse_12S_117	36	14	0	0	0	72	122		reverse		
reverse_12S_118	27	0	0	0	1	94	122		reverse		
