12S_seq_number	SkHi_12S_5.C2.S1540.L007	SkHi12S_8.C4.S900.L007	SkHi12S_AN1H.S1214.L007	SkHi12S_AN2C.S1215.L007	SkHi12S_ANB2.S1217.L007	SkHi12S_C1g.S885.L007	Forward	reverse	merged	sumtax Confidence
forward_12S_236	0	0	0	0	2	0	forward			Chordata	0.996136473
forward_12S_237	0	0	0	0	2	0	forward			Chordata	0.995659368
forward_12S_238	0	0	0	0	2	0	forward			Chordata	0.996556823
forward_12S_239	0	0	0	0	2	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.992906147
forward_12S_24	0	1	5	5	5	0	forward			Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	0.99999815
forward_12S_240	0	0	0	0	2	0	forward			Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	0.99999784
forward_12S_241	0	0	0	0	2	0	forward			Chordata;Mammalia;Cetacea;Delphinidae;Tursiops;Tursiops truncatus	0.994326363
forward_12S_242	0	0	0	0	2	0	forward			Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma quinquevittatum	0.846235636
forward_12S_243	0	0	0	0	2	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.977769049
forward_12S_244	0	0	0	0	2	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.882188419
forward_12S_245	0	0	0	0	2	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.98352361
forward_12S_246	0	0	0	0	2	0	forward			Chordata;Actinopteri	0.981598717
forward_12S_247	0	0	0	0	2	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.977075446
forward_12S_248	0	0	0	0	2	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.982866209
forward_12S_249	0	0	0	0	2	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.983636827
forward_12S_25	0	0	0	0	15	0	forward			Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus	0.980687628
forward_12S_250	0	0	0	0	2	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.992327516
forward_12S_251	0	0	0	0	2	0	forward			Chordata;Actinopteri	0.999165885
forward_12S_252	0	0	0	0	2	0	forward			Chordata;Actinopteri	0.999499866
forward_12S_253	0	0	0	0	2	0	forward			Chordata;Actinopteri	0.998963233
forward_12S_254	0	0	0	0	2	0	forward			Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis	0.999807842
forward_12S_255	0	0	0	0	2	0	forward			Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	0.848127736
forward_12S_256	0	0	0	0	2	0	forward			Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis	0.999920456
forward_12S_257	0	0	0	0	2	0	forward			Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis	0.99992457
forward_12S_258	0	0	0	0	2	0	forward			Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	0.847480724
forward_12S_259	0	0	0	0	2	0	forward			Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica	0.934640519
forward_12S_26	0	0	0	0	15	0	forward			Chordata;Actinopteri;Scombriformes;Scombridae;Scomber	0.999999072
forward_12S_260	0	0	0	0	2	0	forward			Chordata;Actinopteri	0.992585115
forward_12S_261	0	0	0	0	2	0	forward			Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus	0.999999998
forward_12S_262	0	0	0	0	2	0	forward			Chordata;Actinopteri;Scombriformes;Scombridae;Scomber	0.999998271
forward_12S_263	0	0	0	0	1	1	forward			Chordata;Actinopteri;Labriformes;Labridae	0.974851655
forward_12S_27	0	0	14	0	0	0	forward			Chordata	0.996350469
forward_12S_28	0	0	14	0	0	0	forward			Chordata;Aves;Apodiformes;Apodidae;Collocalia	0.757550025
forward_12S_29	0	0	12	2	0	0	forward			Chordata	0.995498642
forward_12S_3	0	0	46	19	2	0	forward			Chordata	0.997453276
forward_12S_30	0	0	11	0	3	0	forward			Chordata;Mammalia;Carnivora;Otariidae	0.999956735
forward_12S_31	0	0	3	0	11	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.991006554
forward_12S_32	0	0	0	3	11	0	forward			Chordata	0.996258831
forward_12S_33	0	0	13	0	0	0	forward			Eukaryota	1
forward_12S_34	0	0	7	3	3	0	forward			Chordata	0.993120563
forward_12S_35	0	0	6	3	4	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella	0.999651735
forward_12S_36	0	0	0	0	13	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.976787689
forward_12S_37	0	0	10	1	0	0	forward			Chordata	0.993696113
forward_12S_38	0	0	5	5	1	0	forward			Chordata	0.995866615
forward_12S_39	0	0	2	8	1	0	forward			Chordata;Chondrichthyes	0.969797115
forward_12S_4	0	0	0	0	45	1	forward			Chordata	0.995740851
forward_12S_40	0	0	0	4	7	0	forward			Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes	0.72181317
forward_12S_41	0	0	8	2	0	0	forward			Chordata	0.997120259
forward_12S_42	0	0	5	1	4	0	forward			Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus	0.999293307
forward_12S_43	0	0	2	8	0	0	forward			Chordata	0.99630898
forward_12S_44	0	0	0	0	10	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.96725944
forward_12S_45	0	0	9	0	0	0	forward			Chordata	0.995189107
forward_12S_46	0	0	9	0	0	0	forward			Chordata;Actinopteri	0.996763783
forward_12S_47	0	0	0	0	9	0	forward			Chordata;Actinopteri;Scombriformes;Scombridae;Scomber	0.999999229
forward_12S_48	0	0	7	1	0	0	forward			Chordata	0.997441652
forward_12S_49	0	0	6	2	0	0	forward			Chordata	0.997446483
forward_12S_5	0	1	26	0	16	0	forward			Chordata;Actinopteri	0.991410321
forward_12S_50	0	0	3	5	0	0	forward			Chordata	0.995713471
forward_12S_51	0	0	3	4	1	0	forward			Chordata;Actinopteri	0.996973693
forward_12S_52	0	0	0	2	6	0	forward			Chordata	0.994818209
forward_12S_53	1	0	0	0	6	0	forward			Chordata	0.99532773
forward_12S_54	1	1	3	1	1	0	forward			Chordata	0.994210876
forward_12S_55	0	0	7	0	0	0	forward			Chordata;Actinopteri;Perciformes	0.718255056
forward_12S_56	0	0	5	1	1	0	forward			Chordata	0.994889465
forward_12S_57	0	0	3	0	4	0	forward			Chordata	0.996566453
forward_12S_58	0	0	2	0	5	0	forward			Chordata	0.995906606
forward_12S_59	0	0	1	0	5	1	forward			Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma quinquevittatum	0.859031761
forward_12S_6	0	0	16	3	17	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus	0.966719594
forward_12S_60	0	0	1	1	5	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.991238671
forward_12S_61	0	0	1	0	6	0	forward			Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	0.72144373
forward_12S_62	0	0	5	1	0	0	forward			Chordata	0.994057474
forward_12S_63	0	0	5	1	0	0	forward			Chordata;Actinopteri;;Sciaenidae;Argyrosomus;Argyrosomus japonicus	0.911055008
forward_12S_64	0	0	5	0	1	0	forward			Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi	0.99999804
forward_12S_65	0	0	4	1	1	0	forward			Eukaryota	1
forward_12S_66	0	0	1	0	5	0	forward			Chordata	0.996220907
forward_12S_67	0	0	1	1	4	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.991025788
forward_12S_68	0	0	0	6	0	0	forward			Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys coenosus	0.998524245
forward_12S_69	0	0	0	0	6	0	forward			Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus	0.999999998
forward_12S_7	0	0	30	5	0	0	forward			Chordata	0.996213165
forward_12S_70	0	0	5	0	0	0	forward			Chordata	0.995167336
forward_12S_71	0	0	5	0	0	0	forward			Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss	0.949884371
forward_12S_72	0	0	1	0	4	0	forward			Chordata	0.995370193
forward_12S_73	0	0	0	5	0	0	forward			Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys coenosus	0.998523398
forward_12S_74	0	0	0	5	0	0	forward			Chordata;Actinopteri;NA	0.720702274
forward_12S_75	0	0	0	1	4	0	forward			Chordata	0.996010327
forward_12S_76	0	0	0	0	5	0	forward			Chordata	0.994830589
forward_12S_77	0	0	0	0	5	0	forward			Chordata;Actinopteri;Labriformes;Labridae;Hemigymnus	0.895058262
forward_12S_78	0	0	0	0	5	0	forward			Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis	0.999819976
forward_12S_79	0	1	0	0	3	0	forward			Chordata	0.995930643
forward_12S_8	0	1	10	12	11	0	forward			Chordata;Actinopteri	0.999638902
forward_12S_80	0	0	4	0	0	0	forward			Chordata	0.995172865
forward_12S_81	0	0	4	0	0	0	forward			Chordata;Aves;Apodiformes;Apodidae;Collocalia	0.700964977
forward_12S_82	0	0	4	0	0	0	forward			Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher	0.996561283
forward_12S_83	0	0	4	0	0	0	forward			Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus	0.996160805
forward_12S_84	0	0	3	0	1	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella	0.999625491
forward_12S_85	0	0	2	0	1	1	forward			Eukaryota	1
forward_12S_86	0	0	2	1	1	0	forward			Chordata	0.995577498
forward_12S_87	0	0	2	0	2	0	forward			Chordata	0.996666505
forward_12S_88	0	0	2	2	0	0	forward			Chordata;Actinopteri;;Pomacentridae	0.960822707
forward_12S_89	0	0	0	4	0	0	forward			Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher	0.996232779
forward_12S_9	1	0	1	0	28	2	forward			Chordata;Actinopteri;Labriformes;Labridae	0.991008778
forward_12S_90	0	0	0	4	0	0	forward			Chordata;Chondrichthyes;Lamniformes;Alopiidae;Cetorhinus;Cetorhinus maximus	0.999983777
forward_12S_91	0	0	0	2	2	0	forward			Chordata	0.996726879
forward_12S_92	0	0	0	0	4	0	forward			Chordata	0.99654095
forward_12S_93	0	0	0	0	4	0	forward			Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis	0.999958005
forward_12S_94	0	0	0	0	4	0	forward			Chordata;Actinopteri;Scombriformes;Scombridae;Scomber	0.999998616
forward_12S_95	0	1	0	2	0	0	forward			Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes	0.998657872
forward_12S_96	0	0	3	0	0	0	forward			Chordata	0.995674747
forward_12S_97	0	0	3	0	0	0	forward			Chordata	0.995455465
forward_12S_98	0	0	3	0	0	0	forward			Chordata	0.996782737
forward_12S_99	0	0	3	0	0	0	forward			Chordata	0.99745266
merged_12S_1	91	303	1228	4651	89650	363			merged	Chordata;Actinopteri;Labriformes;Labridae	0.999155562
merged_12S_10	0	101	1523	10222	712	57			merged	Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher	0.999996769
merged_12S_100	0	0	0	39	0	0			merged	Chordata;Actinopteri;Myctophiformes;Myctophidae;Stenobrachius;Stenobrachius leucopsarus	0.999999133
merged_12S_101	0	0	0	0	39	0			merged	Chordata;Actinopteri;Labriformes;Labridae	0.995480095
merged_12S_102	0	38	0	0	0	0			merged	Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni	0.997994847
merged_12S_103	0	37	0	0	0	0			merged	Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes	0.998843072
