	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		forward	merged	reverse	unmerged	All	forward	reverse	unmerged	All
65	;Florideophyceae;Ceramiales;Rhodomelaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	113.0
66	;Florideophyceae;Ceramiales;Rhodomelaceae;Ophidocladus;Ophidocladus simpliciusculus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	90.0
67	;Florideophyceae;Ceramiales;Rhodomelaceae;Osmundea;Osmundea splendens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	59.0
68	;Florideophyceae;Ceramiales;Rhodomelaceae;Pterosiphonia;Pterosiphonia hamata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	38.0
69	;Florideophyceae;Ceramiales;Rhodomelaceae;Rhodomela;Rhodomela lycopodioides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	96.0
70	;Florideophyceae;Corallinales;Corallinaceae;Lithophyllum;Lithophyllum hibernicum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0
71	;Florideophyceae;Gigartinales	0.0	0.0	0.0	0.0	0.0	2.0	0.0	515.0	517.0
72	;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
73	;Florideophyceae;Palmariales;Palmariaceae;Devaleraea;Devaleraea mollis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	18.0
74	;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23891.0	23891.0
75	;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium;Plocamium fimbriatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11488.0	11488.0
