	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		forward	merged	reverse	unmerged	All	forward	reverse	unmerged	All
338	NA;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia fallax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.0	181.0
339	NA;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	52.0
340	NA;Chrysophyceae;Chromulinales;Chromulinaceae;Pedospumella;Pedospumella sinomuralis	0.0	0.0	0.0	0.0	0.0	3.0	0.0	603.0	606.0
341	NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium impudicum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
342	NA;Florideophyceae;Ceramiales;Ceramiaceae;Callithamnion;Callithamnion sp. C762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0
343	NA;Florideophyceae;Ceramiales;Ceramiaceae;Inkyuleea;Inkyuleea mariana	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0
344	NA;Florideophyceae;Ceramiales;Delesseriaceae;Apoglossum;Apoglossum ruscifolium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.0	170.0
345	NA;Florideophyceae;Ceramiales;Delesseriaceae;Cryptopleura;Cryptopleura ruprechtiana	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	102.0
346	NA;Florideophyceae;Ceramiales;Delesseriaceae;Polyneura;Polyneura bonnemaisonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0
347	NA;Florideophyceae;Ceramiales;Rhodomelaceae;Chondrophycus;Chondrophycus cf. undulatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
348	NA;Florideophyceae;Ceramiales;Rhodomelaceae;Chondrophycus;Chondrophycus sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0
349	NA;Florideophyceae;Ceramiales;Rhodomelaceae;Chondrophycus;Chondrophycus succisus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
350	NA;Florideophyceae;Ceramiales;Rhodomelaceae;Kuetzingia;Kuetzingia canaliculata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
351	NA;Florideophyceae;Ceramiales;Rhodomelaceae;Neosiphonia;Neosiphonia paniculata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	24.0
352	NA;Florideophyceae;Ceramiales;Rhodomelaceae;Neosiphonia;Neosiphonia ramireziae	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
353	NA;Florideophyceae;Ceramiales;Rhodomelaceae;Polyzonia;Polyzonia elegans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	29.0
354	NA;Florideophyceae;Corallinales;Corallinaceae;Jania;Jania verrucosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	63.0
355	NA;Florideophyceae;Gelidiales;Pterocladiaceae;Pterocladia;Pterocladia rectangularis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	48.0
356	NA;Florideophyceae;Gelidiales;Pterocladiaceae;Pterocladiella;Pterocladiella caerulescens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0
357	NA;Florideophyceae;Gelidiales;Pterocladiaceae;Pterocladiella;Pterocladiella sp. GHB2016c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
358	NA;Florideophyceae;Gigartinales;Choreocolacaceae;Choreocolax;Choreocolax polysiphoniae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0	211.0
359	NA;Florideophyceae;Gigartinales;Dumontiaceae;Constantinea;Constantinea sp. 3simplex	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.0	183.0
360	NA;Florideophyceae;Gigartinales;Gloiosiphoniaceae;Schimmelmannia;Schimmelmannia schousboei	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	9.0
361	NA;Florideophyceae;Gigartinales;Peyssonneliaceae;Peyssonnelia;Peyssonnelia sp. 1boergesenii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
362	NA;Florideophyceae;Gigartinales;Peyssonneliaceae;Ramicrusta;Ramicrusta australica	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
363	NA;Florideophyceae;Gigartinales;Phyllophoraceae;Besa;Besa paradoxa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	551.0	551.0
364	NA;Florideophyceae;Nemaliales;Liagoraceae;Liagora;Liagora mannarensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	317.0	317.0
365	NA;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium;Plocamium cf. cartilagineum NZ 2 GWS-2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13002.0	13002.0
366	NA;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium;Plocamium cf. leptophyllum 1 GWS-2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0
367	NA;Florideophyceae;Rhodymeniales;Faucheaceae;Leptofauchea;Leptofauchea cocosana	0.0	0.0	0.0	0.0	0.0	0.0	0.0	267.0	267.0
368	NA;Florideophyceae;Thoreales;Thoreaceae;Nemalionopsis;Nemalionopsis shawii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0
369	NA;Hyphochytriomycetes;;Hyphochytriaceae;Hyphochytrium;Hyphochytrium catenoides	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
370	NA;Oomycetes;Albuginales;Albuginaceae;Albugo;Albugo laibachii	0.0	0.0	0.0	0.0	0.0	12.0	0.0	11.0	23.0
371	NA;Oomycetes;Peronosporales;;Phytopythium;Phytopythium carbonicum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	12.0
372	NA;Oomycetes;Peronosporales;;Phytopythium;Phytopythium helicoides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	28.0
373	NA;Oomycetes;Peronosporales;;Phytopythium;Phytopythium kandeliae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0
374	NA;Oomycetes;Peronosporales;Peronosporaceae;Peronospora;Peronospora dicentrae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	52.0
375	NA;Oomycetes;Peronosporales;Peronosporaceae;Peronospora;Peronospora polygoni	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	50.0
376	NA;Oomycetes;Pythiales;Pythiaceae;Halophytophthora;Halophytophthora bahamensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
377	NA;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium burgundicum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0
378	NA;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium ershadii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	24.0
379	NA;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium sp. WJB-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	15.0
380	NA;Oomycetes;Pythiales;Pythiaceae;Salispina;Salispina spinosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0
381	NA;Oomycetes;Saprolegniales;Saprolegniaceae;Achlya;Achlya oligacantha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	59.0
382	NA;Oomycetes;Saprolegniales;Saprolegniaceae;Aphanomyces;Aphanomyces cochlioides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	22.0
383	NA;Oomycetes;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia delica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	323.0	323.0
384	NA;Oomycetes;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia eccentrica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	65.0
385	NA;Oomycetes;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia subterranea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	136.0
386	NA;Synurophyceae;Parmales;Triparmaceae;Triparma;Triparma laevis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
387	Nematoda;Chromadorea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	77.0
388	Nematoda;Chromadorea;Rhabditida;Bunonematidae;Bunonema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1931.0	1931.0
389	Nematoda;Chromadorea;Rhabditida;Bunonematidae;Bunonema;Bunonema sp. SRC-6B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	54.0
390	Nematoda;Chromadorea;Tylenchida;Aphelenchoididae;Bursaphelenchus;Bursaphelenchus cocophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0
391	Nemertea;Anopla;Heteronemertea;Lineidae;Lineus;Lineus flavescens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
392	Nemertea;Enopla;Monostilifera;Amphiporidae;Gurjanovella;Gurjanovella littoralis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	28.0
393	Nemertea;Palaeonemertea;;Tubulanidae;Tubulanus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	433.0	433.0
394	Onychophora;;;Peripatopsidae;Peripatopsis;Peripatopsis capensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
395	Phaeophyceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
396	Phaeophyceae;;Dictyotales;Dictyotaceae;Dictyota;Dictyota coriacea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0
397	Phaeophyceae;;Dictyotales;Dictyotaceae;Dictyota;Dictyota spiralis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	42.0
398	Phaeophyceae;;Ectocarpales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
399	Phaeophyceae;;Ectocarpales;Acinetosporaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0
400	Phaeophyceae;;Ectocarpales;Acinetosporaceae;Geminocarpus;Geminocarpus geminatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	115.0
401	Phaeophyceae;;Ectocarpales;Chordariaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	160.0
402	Phaeophyceae;;Ectocarpales;Chordariaceae;Stictyosiphon;Stictyosiphon soriferus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
403	Phaeophyceae;;Ectocarpales;Scytosiphonaceae;Hydroclathrus;Hydroclathrus clathratus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
404	Phaeophyceae;;Fucales;Notheiaceae;Notheia;Notheia anomala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	446.0	446.0
405	Phaeophyceae;;Laminariales;Agaraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0	349.0
406	Phaeophyceae;;Scytothamnales;;Splachnidium;Splachnidium rugosum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
407	Phaeophyceae;;Sphacelariales;Choristocarpaceae;Choristocarpus;Choristocarpus tenellus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0
408	Platyhelminthes;;Tricladida;Geoplanidae;Pasipha;Pasipha chimbeva	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2662.0	2662.0
409	Porifera;Demospongiae;Axinellida;Raspailiidae;Raspailia;Raspailia cf. viminalis Po.25743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.0	193.0
410	Porifera;Demospongiae;Suberitida;Halichondriidae;Halichondria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0
411	Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Pseudocorticium;Pseudocorticium jarrei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	26.0
412	Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
413	Rotifera;Bdelloidea;Philodinida	0.0	0.0	0.0	0.0	0.0	2.0	0.0	388.0	390.0
414	Rotifera;Bdelloidea;Philodinida;Philodinidae;Philodina;Philodina citrina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	44.0
415	Rotifera;Bdelloidea;Philodinida;Philodinidae;Philodina;Philodina megalotrocha	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0
416	Rotifera;Monogononta;Ploima;Brachionidae;Brachionus;Brachionus urceolaris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
417	Xanthophyceae;;Mischococcales;Mischococcaceae;Mischococcus;Mischococcus sphaerocephalus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	94.0
