	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	land4_Mi_sk	land5_Mi_sk	land6_Mi_sk	land4_Mi_b2	land5_Mi_b2	land6_Mi_b2
70	;Florideophyceae;Corallinales;Corallinaceae;Lithophyllum;Lithophyllum hibernicum	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	;Florideophyceae;Gigartinales	0.0	0.0	0.0	0.0	0.0	517.0	0.0	0.0	0.0	0.0	0.0	0.0
72	;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	;Florideophyceae;Palmariales;Palmariaceae;Devaleraea;Devaleraea mollis	0.0	0.0	0.0	0.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
74	;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium	0.0	0.0	0.0	2414.0	6975.0	14502.0	0.0	0.0	0.0	0.0	0.0	0.0
75	;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium;Plocamium fimbriatum	0.0	0.0	0.0	197.0	4699.0	6592.0	0.0	0.0	0.0	0.0	0.0	0.0
76	;Florideophyceae;Rhodymeniales;Rhodymeniaceae	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77	;Florideophyceae;Sebdeniales;Sebdeniaceae;Sebdenia;Sebdenia sp. 1flabellata	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	;Oomycetes	0.0	0.0	0.0	155.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0
79	;Oomycetes;Albuginales;Albuginaceae;Albugo;Albugo candida	0.0	0.0	0.0	0.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
