	taxon	forward_Mi_sk	merged_Mi_sk	reverse_Mi_sk	unmerged_Mi_sk	forward_Mi_b2	merged_Mi_b2	reverse_Mi_b2	unmerged_Mi_b2
72	Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Gliomastix;Gliomastix murorum	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
73	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
74	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;Cordyceps sp. CUHK CD14-1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
75	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Lecanicillium;Lecanicillium muscarium	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
76	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Calonectria;Calonectria colhounii	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
77	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0
78	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium sacchari	0.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0
79	Ascomycota;Sordariomycetes;Sordariales	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
80	Ascomycota;Sordariomycetes;Sordariales;;Madurella;Madurella mycetomatis	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0
81	Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Thermothelomyces;Thermothelomyces thermophila	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
82	Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia;Pinnularia acrosphaeria	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
83	Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella cf. hydrophila TRTC155552	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
84	Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Lepista;Lepista nuda	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
85	Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella variabilis	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
86	Eustigmatophyceae;;Eustigmatales;Eustigmataceae;Eustigmatos;Eustigmatos magnus	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
87	NA;;;Hartmannellidae;Saccamoeba;Saccamoeba sp. MSED6	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
88	NA;;Stemonitida;Stemonitidae;Stemonitis;Stemonitis flavogenita	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
89	NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. NVA/RUS/2008	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
90	Nematoda;Chromadorea;Rhabditida;Rhabditidae;Oscheius;Oscheius onirici	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
91	Phaeophyceae;;Ectocarpales;Chordariaceae;Laminariocolax;Laminariocolax aecidioides	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
92	Phaeophyceae;;Laminariales;Laminariaceae;Postelsia;Postelsia palmaeformis	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
93	Rotifera;Bdelloidea;Philodinida	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
94	Rotifera;Bdelloidea;Philodinida;Philodinidae;Macrotrachela;Macrotrachela quadricornifera	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
95	Xanthophyceae;;Botrydiales;Botrydiaceae;Botrydium;Botrydium granulatum	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
96	Xanthophyceae;;Mischococcales;Botryidiopsidaceae;Botrydiopsis;Botrydiopsis alpina	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
