	taxon	forward_Hi_sk	merged_Hi_sk	reverse_Hi_sk	unmerged_Hi_sk	forward_Hi_b2	merged_Hi_b2	reverse_Hi_b2	unmerged_Hi_b2
81	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Virgisporangium;Virgisporangium ochraceum	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	Actinobacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella sp.	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae	12.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0
84	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium sp.	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella	6.0	0.0	0.0	0.0	13.0	0.0	0.0	2.0
86	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;Kribbella sp.	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola	1.0	0.0	0.0	0.0	8.0	0.0	0.0	2.0
88	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola;Marmoricola sp.	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	5.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
90	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides ganghwensis	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides sp.	16.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
92	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae	7.0	0.0	0.0	0.0	5.0	0.0	1.0	11.0
93	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis	3.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0
94	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis coloradensis	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia	7.0	0.0	0.0	0.0	16.0	0.0	0.0	3.0
96	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia carboxydivorans	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia halophobica	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia sp.	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
100	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharothrix	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Umezawaea;Umezawaea tangerina	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102	Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces	17.0	0.0	0.0	0.0	25.0	0.0	0.0	10.0
103	Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
104	Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinoallomurus;Actinoallomurus sp.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
105	Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter	1.0	0.0	0.0	0.0	26.0	0.0	0.0	11.0
106	Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter;Rubrobacter radiotolerans	6.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0
107	Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter;Rubrobacter xylanophilus	8.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0
108	Actinobacteria;Thermoleophilia;Solirubrobacterales	37.0	0.0	0.0	0.0	57.0	0.0	0.0	6.0
109	Actinobacteria;Thermoleophilia;Solirubrobacterales;;;Solirubrobacterales bacterium	8.0	0.0	0.0	0.0	7.0	0.0	0.0	1.0
110	Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter	13.0	0.0	0.0	0.0	13.0	0.0	0.0	5.0
111	Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter woesei	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
112	Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter	16.0	0.0	0.0	0.0	26.0	0.0	0.0	7.0
113	Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;Solirubrobacter phytolaccae	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
114	Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas;Armatimonas rosea	1.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
115	Ascomycota	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
116	Ascomycota;Leotiomycetes;Helotiales	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
117	Bacteroidetes	50.0	0.0	0.0	0.0	34.0	0.0	0.0	7.0
118	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae	254.0	0.0	0.0	0.0	168.0	0.0	0.0	31.0
119	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga	28.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
120	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga arvensicola	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
121	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga pinensis	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
