	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	sea1_Hi_sk	sea2_Hi_sk	sea3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	sea1_Hi_b2	sea2_Hi_b2	sea3_Hi_b2	css1_Mi_sk	css2_Mi_sk	css3_Mi_sk	sand1_Mi_sk	sand2_Mi_sk	sand3_Mi_sk	css1_Mi_b2	css2_Mi_b2	css3_Mi_b2	sand1_Mi_b2	sand2_Mi_b2	sand3_Mi_b2
60	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Terracoccus;Terracoccus sp.	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae	596.0	23.0	25.0	0.0	0.0	0.0	1289.0	86.0	13.0	0.0	0.0	0.0	409.0	373.0	974.0	6.0	0.0	0.0	407.0	62.0	971.0	10.0	0.0	0.0
62	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces	0.0	4.0	0.0	0.0	0.0	0.0	0.0	43.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0
63	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces cerinus	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Salinibacterium;Salinibacterium amurskyense	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae	454.0	86.0	86.0	6.0	0.0	2.0	0.0	15.0	2.0	0.0	0.0	0.0	3.0	0.0	193.0	14.0	1.0	0.0	1.0	0.0	0.0	1.0	45.0	44.0
66	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter	10.0	0.0	0.0	0.0	0.0	0.0	1670.0	441.0	424.0	40.0	0.0	33.0	32.0	0.0	3.0	175.0	0.0	0.0	35.0	0.0	222.0	189.0	1.0	0.0
67	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0
68	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Paenarthrobacter	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora	0.0	5.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	233.0	46.0	205.0	0.0	0.0	0.0	406.0	59.0	297.0	0.0	0.0	0.0	61.0	37.0	16.0	1.0	0.0	0.0	25.0	8.0	29.0	5.0	0.0	0.0
72	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	15.0	0.0	5.0	0.0	0.0	0.0	244.0	39.0	172.0	0.0	0.0	0.0	10.0	7.0	4.0	0.0	0.0	0.0	63.0	40.0	14.0	0.0	0.0	0.0
73	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes cibodasensis	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes philippinensis	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
