	taxon	forward_Mi_sk	merged_Mi_sk	reverse_Mi_sk	unmerged_Mi_sk	forward_Mi_b2	merged_Mi_b2	reverse_Mi_b2	unmerged_Mi_b2
58	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter crystallopoietes	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter tumbae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria	5.0	1.0	0.0	0.0	5.0	1.0	0.0	0.0
61	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Paenarthrobacter	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	13.0	1.0	0.0	0.0	19.0	0.0	0.0	0.0
63	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	4.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0
64	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	20.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
65	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Salinispora	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66	Actinobacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella sp.	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae	7.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
68	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium sp.	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;Kribbella sp.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola;Marmoricola sp.	22.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
71	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	2.0	0.0	0.0	0.0	34.0	1.0	0.0	0.0
72	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides plantarum	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides sp.	37.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0
74	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis sp.	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia sp.	22.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0
76	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharothrix	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
77	Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
78	Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces	18.0	1.0	0.0	0.0	13.0	0.0	0.0	0.0
79	Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
81	Actinobacteria;Nitriliruptoria;Euzebyales;Euzebyaceae;Euzebya;Euzebya tangerina	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
82	Actinobacteria;Rubrobacteria;Gaiellales;Gaiellaceae;Gaiella	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
83	Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter;Rubrobacter xylanophilus	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84	Actinobacteria;Thermoleophilia;Solirubrobacterales	54.0	0.0	0.0	0.0	43.0	1.0	0.0	0.0
85	Actinobacteria;Thermoleophilia;Solirubrobacterales;;;Solirubrobacterales bacterium	27.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0
86	Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter	1.0	0.0	0.0	0.0	23.0	1.0	0.0	0.0
87	Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter woesei	20.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
88	Actinobacteria;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae;Parviterribacter	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
89	Actinobacteria;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae;Parviterribacter;Parviterribacter kavangonensis	4.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
90	Actinobacteria;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae;Parviterribacter;Parviterribacter multiflagellatus	7.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
91	Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;Solirubrobacter phytolaccae	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92	Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas;Armatimonas rosea	2.0	0.0	0.0	0.0	25.0	2.0	0.0	0.0
93	Ascomycota	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
94	Ascomycota;;Collemopsidiales;Xanthopyreniaceae;Zwackhiomyces;Zwackhiomyces coepulonus	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
95	Ascomycota;Dothideomycetes	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
96	Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Curreya;Curreya pityophila	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
97	Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;Preussia	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
98	Ascomycota;Eurotiomycetes	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
99	Ascomycota;Eurotiomycetes;Chaetothyriales	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0
100	Ascomycota;Eurotiomycetes;Chaetothyriales;;;Chaetothyriales sp.	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
101	Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Knufia	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
102	Ascomycota;Leotiomycetes;Helotiales;Dermateaceae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium commune	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
104	Bacillariophyta;Bacillariophyceae	1.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0
105	Bacillariophyta;Bacillariophyceae;;;;Endosymbiont of Kryptoperidinium foliaceum	1.0	0.0	0.0	0.0	16.0	3.0	0.0	0.0
106	Bacillariophyta;Bacillariophyceae;Naviculales;Diadesmidaceae;Luticola;Luticola permuticopsis	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
107	Bacteroidetes	20.0	3.0	0.0	0.0	20.0	0.0	0.0	0.0
108	Bacteroidetes;;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae	17.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
109	Bacteroidetes;;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;;Rhodothermaceae bacterium RA	4.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
110	Bacteroidetes;Bacteroidia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111	Bacteroidetes;Bacteroidia;Marinilabiliales	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
112	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Saccharicrinis;Saccharicrinis fermentans	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
113	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
114	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Mariniphaga;Mariniphaga sediminis	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
115	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae	183.0	3.0	0.0	0.0	137.0	2.0	0.0	0.0
116	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga	15.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
117	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga pinensis	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
118	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter;Ferruginibacter profundus	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
119	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavisolibacter	16.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0
120	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavisolibacter;Flavisolibacter ginsenosidimutans	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
121	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavisolibacter;Flavisolibacter tropicus	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
122	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea;Flavitalea sp.	5.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
123	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Lacibacter;Lacibacter cauensis	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
124	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Niastella;Niastella sp.	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
125	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Panacibacter;Panacibacter sp.	25.0	1.0	0.0	0.0	48.0	1.0	0.0	0.0
126	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Sediminibacterium salmoneum	30.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
127	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;Segetibacter aerophilus	34.0	1.0	0.0	0.0	34.0	1.0	0.0	0.0
128	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;Segetibacter sp. A37C11	3.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
129	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Taibaiella	1.0	1.0	0.0	0.0	9.0	1.0	0.0	0.0
130	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Taibaiella;Taibaiella sp.	9.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
131	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
132	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas ferruginea	72.0	4.0	0.0	0.0	7.0	1.0	0.0	0.0
133	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas lutea	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
134	Bacteroidetes;Cytophagia;Cytophagales	7.0	1.0	0.0	0.0	10.0	1.0	0.0	0.0
135	Bacteroidetes;Cytophagia;Cytophagales;;Chryseolinea;Chryseolinea serpens	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
136	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae	17.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0
137	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;Cytophaga hutchinsonii	6.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
138	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter	5.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
139	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;Dyadobacter fermentans	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
140	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter;Flexibacter flexilis	7.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
141	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Larkinella;Larkinella bovis	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
