	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	sea1_Hi_sk	sea2_Hi_sk	sea3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	sea1_Hi_b2	sea2_Hi_b2	sea3_Hi_b2
121	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga pinensis	3.0	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
122	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga terrae Kim and Jung 2007	54.0	4.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
123	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter;Ferruginibacter profundus	3.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
124	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flaviaesturariibacter;Flaviaesturariibacter sp.	249.0	3.0	5.0	0.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0
125	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Lacibacter;Lacibacter cauensis	10.0	9.0	16.0	0.0	0.0	0.0	23.0	5.0	33.0	0.0	0.0	0.0
126	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Niastella;Niastella koreensis	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
127	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Panacibacter;Panacibacter ginsenosidivorans	4.0	1.0	12.0	0.0	0.0	0.0	4.0	1.0	12.0	0.0	0.0	0.0
128	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Panacibacter;Panacibacter sp.	46.0	3.0	14.0	0.0	0.0	0.0	128.0	3.0	61.0	0.0	0.0	1.0
129	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium	0.0	1.0	1.0	0.0	0.0	0.0	17.0	0.0	6.0	0.0	0.0	0.0
130	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Sediminibacterium salmoneum	4.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
131	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;Segetibacter aerophilus	1997.0	174.0	207.0	0.0	0.0	6.0	2779.0	177.0	362.0	0.0	0.0	6.0
132	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Taibaiella;Taibaiella sp.	10.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
133	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas	7.0	1.0	6.0	0.0	0.0	0.0	16.0	11.0	13.0	0.0	0.0	0.0
134	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas ferruginea	2.0	4.0	7.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0
135	Bacteroidetes;Cytophagia;Cytophagales	16.0	4.0	17.0	0.0	0.0	0.0	15.0	1.0	12.0	0.0	0.0	0.0
136	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae	2.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
137	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;Cytophaga hutchinsonii	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
138	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;Dyadobacter fermentans	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter;Flexibacter flexilis	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
140	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae	12.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
141	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter terreus	1.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0
142	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter	58.0	2.0	2.0	0.0	0.0	0.0	647.0	22.0	6.0	0.0	0.0	0.0
143	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp.	23.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
